layer,kwargs,model,width,depth,lr,bs,max_epochs,wdecay,init_scale,dropout,measurement_id,dataset,lr_decay,early_stop,max_bs,nr_runs,done,nr_parameters,best_train,best_test,epoch_of_best_train,epoch_of_best_test
lowranklight,"(rank = 704,)",gpt2,0,0,1.0e-5,8,25,0.0,1.0,0.2,1,wikitext2,true,true,4,1,true,119524608,13.576095581054688,19.83722496032715,21,8
lowranklight,"(rank = 704,)",gpt2,0,0,5.0e-6,8,25,0.0,1.0,0.2,2,wikitext2,true,true,4,1,true,119524608,16.053197860717773,19.818578720092773,21,13
lowranklight,"(rank = 704,)",gpt2,0,0,2.0e-6,8,25,0.0,1.0,0.2,3,wikitext2,true,true,4,1,true,119524608,18.49846839904785,20.05057144165039,21,24
lowranklight,"(rank = 704,)",gpt2,0,0,1.0e-6,8,25,0.0,1.0,0.2,4,wikitext2,true,true,4,1,true,119524608,19.947433471679688,20.454442977905273,21,26
lowranklight,"(rank = 640,)",gpt2,0,0,1.0e-5,8,25,0.0,1.0,0.2,5,wikitext2,true,true,4,1,true,114216192,14.549941062927246,21.3098087310791,21,10
lowranklight,"(rank = 640,)",gpt2,0,0,5.0e-6,8,25,0.0,1.0,0.2,6,wikitext2,true,true,4,1,true,114216192,17.189075469970703,21.17198371887207,21,15
lowranklight,"(rank = 640,)",gpt2,0,0,2.0e-6,8,25,0.0,1.0,0.2,7,wikitext2,true,true,4,1,true,114216192,20.20418357849121,21.811386108398438,21,26
lowranklight,"(rank = 640,)",gpt2,0,0,1.0e-6,8,25,0.0,1.0,0.2,8,wikitext2,true,true,4,1,true,114216192,22.236034393310547,22.683788299560547,21,26
lowranklight,"(rank = 512,)",gpt2,0,0,1.0e-5,8,25,0.0,1.0,0.2,9,wikitext2,true,true,4,1,true,102419712,20.52560043334961,28.553564071655273,21,15
lowranklight,"(rank = 512,)",gpt2,0,0,5.0e-6,8,25,0.0,1.0,0.2,10,wikitext2,true,true,4,1,true,102419712,24.500139236450195,29.1687068939209,21,24
lowranklight,"(rank = 512,)",gpt2,0,0,2.0e-6,8,25,0.0,1.0,0.2,11,wikitext2,true,true,4,1,true,102419712,29.687158584594727,31.50246810913086,21,21
lowranklight,"(rank = 512,)",gpt2,0,0,1.0e-6,8,25,0.0,1.0,0.2,12,wikitext2,true,true,4,1,true,102419712,33.841915130615234,33.99067687988281,21,24
lowranklight,"(rank = 384,)",gpt2,0,0,1.0e-5,8,25,0.0,1.0,0.2,13,wikitext2,true,true,4,1,true,89050368,33.716976165771484,43.404273986816406,21,18
lowranklight,"(rank = 384,)",gpt2,0,0,5.0e-6,8,25,0.0,1.0,0.2,14,wikitext2,true,true,4,1,true,89050368,42.894615173339844,49.219966888427734,21,21
lowranklight,"(rank = 384,)",gpt2,0,0,2.0e-6,8,25,0.0,1.0,0.2,15,wikitext2,true,true,4,1,true,89050368,54.13043212890625,56.20722198486328,21,26
lowranklight,"(rank = 384,)",gpt2,0,0,1.0e-6,8,25,0.0,1.0,0.2,16,wikitext2,true,true,4,1,true,89050368,63.84946823120117,63.582645416259766,21,20
lowranklight,"(rank = 128,)",gpt2,0,0,1.0e-5,8,25,0.0,1.0,0.2,17,wikitext2,false,true,4,1,true,57593088,86.59214782714844,127.74658966064453,21,23
lowranklight,"(rank = 128,)",gpt2,0,0,5.0e-6,8,25,0.0,1.0,0.2,18,wikitext2,false,true,4,1,true,57593088,129.67127990722656,154.39244079589844,21,26
lowranklight,"(rank = 128,)",gpt2,0,0,2.0e-6,8,25,0.0,1.0,0.2,19,wikitext2,false,true,4,1,true,57593088,193.91949462890625,217.67967224121094,21,26
lowranklight,"(rank = 128,)",gpt2,0,0,1.0e-6,8,25,0.0,1.0,0.2,20,wikitext2,false,true,4,1,true,57593088,269.41058349609375,261.3462219238281,21,26
lowranklight,"(rank = 256,)",gpt2,0,0,1.0e-5,8,25,0.0,1.0,0.2,21,wikitext2,false,true,4,1,true,74108160,43.89583206176758,61.298377990722656,21,23
lowranklight,"(rank = 256,)",gpt2,0,0,5.0e-6,8,25,0.0,1.0,0.2,22,wikitext2,false,true,4,1,true,74108160,56.854618072509766,67.50154876708984,21,24
lowranklight,"(rank = 256,)",gpt2,0,0,2.0e-6,8,25,0.0,1.0,0.2,23,wikitext2,false,true,4,1,true,74108160,75.0555648803711,78.54513549804688,21,26
lowranklight,"(rank = 256,)",gpt2,0,0,1.0e-6,8,25,0.0,1.0,0.2,24,wikitext2,false,true,4,1,true,74108160,94.89002227783203,92.67463684082031,21,26
lowranklight,"(rank = 384,)",gpt2,0,0,1.0e-5,8,25,0.0,1.0,0.2,25,wikitext2,false,true,4,1,true,89050368,29.6619930267334,43.45530319213867,21,20
lowranklight,"(rank = 384,)",gpt2,0,0,5.0e-6,8,25,0.0,1.0,0.2,26,wikitext2,false,true,4,1,true,89050368,38.21119689941406,44.979129791259766,21,24
lowranklight,"(rank = 384,)",gpt2,0,0,2.0e-6,8,25,0.0,1.0,0.2,27,wikitext2,false,true,4,1,true,89050368,48.13036346435547,51.54526138305664,21,26
lowranklight,"(rank = 384,)",gpt2,0,0,1.0e-6,8,25,0.0,1.0,0.2,28,wikitext2,false,true,4,1,true,89050368,57.070167541503906,56.814697265625,21,26
