layer,kwargs,model,width,depth,lr,bs,max_epochs,wdecay,init_scale,dropout,measurement_id,dataset,lr_decay,early_stop,max_bs,nr_runs,done,nr_parameters,best_train,best_test,epoch_of_best_train,epoch_of_best_test
dense,NamedTuple(),mlp,2,0,0.0008,100000,500,0.0,1.0,0.0,1,simple,true,false,50000,1,true,18,0.25,0.25,1,1
dense,NamedTuple(),mlp,2,0,0.0005,100000,500,0.0,1.0,0.0,2,simple,true,false,50000,1,true,18,0.4130000174045563,0.4350000023841858,163,167
dense,NamedTuple(),mlp,2,0,0.0003,100000,500,0.0,1.0,0.0,3,simple,true,false,50000,1,true,18,0.25,0.25,1,1
dense,NamedTuple(),mlp,18,0,0.0008,100000,500,0.0,1.0,0.0,4,simple,true,false,50000,1,true,130,0.5990000367164612,0.6225000023841858,155,130
dense,NamedTuple(),mlp,18,0,0.0005,100000,500,0.0,1.0,0.0,5,simple,true,false,50000,1,true,130,0.5180000066757202,0.5,406,442
dense,NamedTuple(),mlp,18,0,0.0003,100000,500,0.0,1.0,0.0,6,simple,true,false,50000,1,true,130,0.5,0.5349999666213989,141,119
dense,NamedTuple(),mlp,34,0,0.0008,100000,500,0.0,1.0,0.0,7,simple,true,false,50000,1,true,242,0.6190000176429749,0.6225000023841858,329,366
dense,NamedTuple(),mlp,34,0,0.0005,100000,500,0.0,1.0,0.0,8,simple,true,false,50000,1,true,242,0.6060000061988831,0.6200000047683716,367,373
dense,NamedTuple(),mlp,34,0,0.0003,100000,500,0.0,1.0,0.0,9,simple,true,false,50000,1,true,242,0.5910000205039978,0.6074999570846558,338,349
dense,NamedTuple(),mlp,50,0,0.0008,100000,500,0.0,1.0,0.0,10,simple,true,false,50000,1,true,354,0.6430000066757202,0.6649999618530273,167,194
dense,NamedTuple(),mlp,50,0,0.0005,100000,500,0.0,1.0,0.0,11,simple,true,false,50000,1,true,354,0.6140000224113464,0.6175000071525574,190,197
dense,NamedTuple(),mlp,50,0,0.0003,100000,500,0.0,1.0,0.0,12,simple,true,false,50000,1,true,354,0.6380000114440918,0.6599999666213989,394,436
dense,NamedTuple(),mlp,66,0,0.0008,100000,500,0.0,1.0,0.0,13,simple,true,false,50000,1,true,466,0.6030000448226929,0.6200000047683716,63,69
dense,NamedTuple(),mlp,66,0,0.0005,100000,500,0.0,1.0,0.0,14,simple,true,false,50000,1,true,466,0.6350000500679016,0.6349999904632568,260,260
dense,NamedTuple(),mlp,66,0,0.0003,100000,500,0.0,1.0,0.0,15,simple,true,false,50000,1,true,466,0.593000054359436,0.6074999570846558,347,324
dense,NamedTuple(),mlp,82,0,0.0008,100000,500,0.0,1.0,0.0,16,simple,true,false,50000,1,true,578,0.6370000243186951,0.6524999737739563,231,158
dense,NamedTuple(),mlp,82,0,0.0005,100000,500,0.0,1.0,0.0,17,simple,true,false,50000,1,true,578,0.6350000500679016,0.6324999928474426,217,229
dense,NamedTuple(),mlp,82,0,0.0003,100000,500,0.0,1.0,0.0,18,simple,true,false,50000,1,true,578,0.625,0.637499988079071,355,375
dense,NamedTuple(),mlp,98,0,0.0008,100000,500,0.0,1.0,0.0,19,simple,true,false,50000,1,true,690,0.6570000052452087,0.6825000047683716,326,350
dense,NamedTuple(),mlp,98,0,0.0005,100000,500,0.0,1.0,0.0,20,simple,true,false,50000,1,true,690,0.6230000257492065,0.637499988079071,143,132
dense,NamedTuple(),mlp,98,0,0.0003,100000,500,0.0,1.0,0.0,21,simple,true,false,50000,1,true,690,0.6290000081062317,0.6175000071525574,250,212
dense,NamedTuple(),mlp,114,0,0.0008,100000,500,0.0,1.0,0.0,22,simple,true,false,50000,1,true,802,0.675000011920929,0.7074999809265137,363,403
dense,NamedTuple(),mlp,114,0,0.0005,100000,500,0.0,1.0,0.0,23,simple,true,false,50000,1,true,802,0.6570000052452087,0.6825000047683716,62,72
dense,NamedTuple(),mlp,114,0,0.0003,100000,500,0.0,1.0,0.0,24,simple,true,false,50000,1,true,802,0.6340000033378601,0.6424999833106995,165,228
dense,NamedTuple(),mlp,130,0,0.0008,100000,500,0.0,1.0,0.0,25,simple,true,false,50000,1,true,914,0.687000036239624,0.7124999761581421,363,430
dense,NamedTuple(),mlp,130,0,0.0005,100000,500,0.0,1.0,0.0,26,simple,true,false,50000,1,true,914,0.6300000548362732,0.6399999856948853,179,163
dense,NamedTuple(),mlp,130,0,0.0003,100000,500,0.0,1.0,0.0,27,simple,true,false,50000,1,true,914,0.6340000033378601,0.6499999761581421,190,183
dense,NamedTuple(),mlp,146,0,0.0008,100000,500,0.0,1.0,0.0,28,simple,true,false,50000,1,true,1026,0.6930000185966492,0.7224999666213989,341,446
dense,NamedTuple(),mlp,146,0,0.0005,100000,500,0.0,1.0,0.0,29,simple,true,false,50000,1,true,1026,0.6310000419616699,0.6499999761581421,91,94
dense,NamedTuple(),mlp,146,0,0.0003,100000,500,0.0,1.0,0.0,30,simple,true,false,50000,1,true,1026,0.6320000290870667,0.6599999666213989,111,173
dense,NamedTuple(),mlp,162,0,0.0008,100000,500,0.0,1.0,0.0,31,simple,true,false,50000,1,true,1138,0.6390000581741333,0.675000011920929,49,202
dense,NamedTuple(),mlp,162,0,0.0005,100000,500,0.0,1.0,0.0,32,simple,true,false,50000,1,true,1138,0.6530000567436218,0.6899999976158142,203,184
dense,NamedTuple(),mlp,162,0,0.0003,100000,500,0.0,1.0,0.0,33,simple,true,false,50000,1,true,1138,0.6320000290870667,0.6699999570846558,139,98
dense,NamedTuple(),mlp,178,0,0.0008,100000,500,0.0,1.0,0.0,34,simple,true,false,50000,1,true,1250,0.6420000195503235,0.6875,202,72
