layer,norm,nr_parameters,spec
kronecker,58.659305572509766,6336,d=8
kronecker,57.22980880737305,24720,d=4
kronecker,51.24615478515625,98436,d=2
monarch,48.03313446044922,50304,nr_blocks=8
monarch,45.21467590332031,98944,nr_blocks=4
monarch,36.93050765991211,196992,nr_blocks=2
lowrank,57.872310638427734,3328,rank=1
lowrank,53.9567756652832,12928,rank=4
lowrank,50.06560516357422,25728,rank=8
lowrank,44.381099700927734,51328,rank=16
lowrank,36.488101959228516,102528,rank=32
lowrank,29.7990665435791,153728,rank=48
lowrank,23.957063674926758,204928,rank=64
lowrank-light,57.872310638427734,3327,rank=1
lowrank-light,53.95680618286133,12912,rank=4
lowrank-light,50.08611297607422,25664,rank=8
lowrank-light,44.60977554321289,51072,rank=16
lowrank-light,36.523807525634766,101504,rank=32
lowrank-light,24.068317413330078,200832,rank=64
lowrank-light,15.040242195129395,298112,rank=96
lowrank-light,6.539305210113525,390399,rank=127
"unstructured, magnitude pruned",54.384891510009766,4061,density=1%
"unstructured, magnitude pruned",39.28782272338867,39450,density=10%
"unstructured, magnitude pruned",23.392690658569336,118093,density=30%
"unstructured, magnitude pruned",13.189167022705078,196737,density=50%
"unstructured, magnitude pruned",4.469563961029053,295041,density=75%
"unstructured, magnitude pruned",2.495633602142334,326498,density=83%
"unstructured, magnitude pruned",1.480546236038208,346159,density=88%
"unstructured, magnitude pruned",0.6585388779640198,365819,density=93%
"unstructured, magnitude pruned",0.18290823698043823,381548,density=97%
"unstructured, magnitude pruned",0.034793317317962646,389412,density=99%
