layer,op_norm,nr_parameters
"unstructured, magnitude pruned",8.801713943481445,912
"unstructured, magnitude pruned",6.824990749359131,6810
"unstructured, magnitude pruned",4.207461833953857,19917
"unstructured, magnitude pruned",2.4009745121002197,33025
"unstructured, magnitude pruned",0.8215212225914001,49409
"unstructured, magnitude pruned",0.46301403641700745,54651
"unstructured, magnitude pruned",0.27586716413497925,57928
"unstructured, magnitude pruned",0.12210579961538315,61205
"unstructured, magnitude pruned",0.03419185057282448,63826
"unstructured, magnitude pruned",0.0060329739935696125,65137
lowrank,8.903438568115234,2304
lowrank,8.59099292755127,4352
lowrank,8.017681121826172,8448
lowrank,7.008364677429199,16640
lowrank,6.123789310455322,24832
lowrank,5.327248573303223,33024
lowrank,3.9257888793945312,49408
lowrank,2.7389070987701416,65792
monarch,8.139836311340332,8448
monarch,7.989645004272461,10496
monarch,7.988950252532959,10496
monarch,7.375560760498047,17664
monarch,7.430967330932617,17664
monarch,5.8267927169799805,33536
TT,8.017952919006348,8448
TT,7.008708953857422,16640
TT,6.123870849609375,24832
TT,5.3275465965271,33024
TT,3.925821542739868,49408
TT,2.738908052444458,65792
BTT,8.139785766601562,8448
BTT,7.17948055267334,16640
BTT,5.506693363189697,33024
BTT,4.07368803024292,49408
BTT,2.849949359893799,65792
lowrank_light,9.152911186218262,767
lowrank_light,8.903438568115234,2288
lowrank_light,8.59099292755127,4288
lowrank_light,8.017682075500488,8192
lowrank_light,7.008364677429199,15616
lowrank_light,5.327248573303223,28928
lowrank_light,2.7389070987701416,49408
lowrank_light,1.7536873817443848,56576
lowrank_light,0.9423276782035828,61696
lowrank_light,0.3376994729042053,64768
lowrank_light,0.00225930311717093,65791
blast8x8,8.490418434143066,4864
blast8x8,6.3187737464904785,18688
blast8x8,3.5736100673675537,37120
blast8x8,1.0742034912109375,55552
blast8x8,0.5894388556480408,60160
blast8x8,0.209407240152359,64768
